Date,Sales
2021-01-31,120
2021-02-28,123
2021-03-31,126
2021-04-30,125
2021-05-31,130
2021-06-30,134
2021-07-31,136
2021-08-31,139
2021-09-30,142
2021-10-31,145
2021-11-30,147
2021-12-31,150
2022-01-31,153
2022-02-28,155
2022-03-31,158
2022-04-30,160
2022-05-31,164
2022-06-30,166
2022-07-31,169
2022-08-31,172
2022-09-30,174
2022-10-31,177
2022-11-30,181
2022-12-31,184
2023-01-31,187
2023-02-28,190
2023-03-31,194
2023-04-30,197
2023-05-31,199
2023-06-30,203
2023-07-31,206
2023-08-31,209
2023-09-30,212
2023-10-31,216
2023-11-30,219
2023-12-31,223
2024-01-31,226
2024-02-29,229
2024-03-31,232
2024-04-30,236
2024-05-31,239
2024-06-30,242
2024-07-31,246
2024-08-31,249
2024-09-30,252
2024-10-31,256
2024-11-30,259
2024-12-31,263
2025-01-31,266
2025-02-28,270
2025-03-31,273
2025-04-30,277
2025-05-31,281
2025-06-30,284
2025-07-31,288
2025-08-31,291
2025-09-30,295
2025-10-31,299
2025-11-30,303
2025-12-31,307
