Date,Sales
2020-01-31,120
2020-02-29,118
2020-03-31,125
2020-04-30,132
2020-05-31,138
2020-06-30,145
2020-07-31,142
2020-08-31,148
2020-09-30,155
2020-10-31,170
2020-11-30,185
2020-12-31,200
2021-01-31,128
2021-02-28,126
2021-03-31,133
2021-04-30,140
2021-05-31,147
2021-06-30,154
2021-07-31,151
2021-08-31,158
2021-09-30,166
2021-10-31,182
2021-11-30,198
2021-12-31,214
2022-01-31,136
2022-02-28,134
2022-03-31,142
2022-04-30,150
2022-05-31,158
2022-06-30,165
2022-07-31,162
2022-08-31,170
2022-09-30,178
2022-10-31,195
2022-11-30,212
2022-12-31,228
2023-01-31,145
2023-02-28,143
2023-03-31,151
2023-04-30,159
2023-05-31,167
2023-06-30,175
2023-07-31,172
2023-08-31,180
2023-09-30,189
2023-10-31,206
2023-11-30,223
2023-12-31,240
2024-01-31,154
2024-02-29,152
2024-03-31,160
2024-04-30,169
2024-05-31,177
2024-06-30,185
2024-07-31,182
2024-08-31,191
2024-09-30,200
2024-10-31,218
2024-11-30,236
2024-12-31,255
